,table1,col1,table2,col2,sim_score
291,Daxenberger2012-09,File-Deletion,Spangher2022-05,Deletion,0.42884034
292,Yang2017-01,Refactoring,Spangher2022-05,Refactors,0.4279209
293,Spangher2022-05,Refactors,Yang2017-01,Refactoring,0.4279209
294,Spangher2022-05,Deletion,Daxenberger2013-17,File-Deletion,0.42407846
295,Daxenberger2013-17,File-Deletion,Spangher2022-05,Deletion,0.42407846
296,Yang2017-01,Verification,Yang2016-08,File-Modification,0.42306632
297,Yang2016-08,File-Modification,Yang2017-01,Verification,0.42306632
298,Falting2021-04,Refactoring,Spangher2022-05,Refactors,0.42052394
299,Spangher2022-05,Refactors,Falting2021-04,Refactoring,0.42052394
300,Anthonio2020-03,Paraphrase,Yang2016-08,Rephrase,0.41167897
301,Yang2016-08,Rephrase,Anthonio2020-03,Paraphrase,0.41167897
302,Yang2017-01,Clarification,Pfeil2006-12,Clarify Information,0.40945297
303,Pfeil2006-12,Clarify Information,Yang2017-01,Clarification,0.40945297
304,Yang2017-01,Simplification,Yang2016-08,Template-Modification,0.40507445
305,Yang2016-08,Template-Modification,Yang2017-01,Simplification,0.40507445
306,Falting2021-04,Clarification,Pfeil2006-12,Clarify Information,0.4031164
307,Pfeil2006-12,Clarify Information,Falting2021-04,Clarification,0.4031164
308,Daxenberger2012-09,Spelling/Grammar,Pfeil2006-12,Spelling,0.40146762
309,Pfeil2006-12,Spelling,Daxenberger2012-09,Spelling/Grammar,0.40146762
310,Pfeil2006-12,Spelling,Daxenberger2013-17,Spelling/Grammar,0.40146762
311,Daxenberger2013-17,Spelling/Grammar,Pfeil2006-12,Spelling,0.40146762
312,Pfeil2006-12,Reversion,Jones2008-13,Revert,0.40057224
313,Jones2008-13,Revert,Pfeil2006-12,Reversion,0.40057224
314,Anthonio2020-03,Spelling/Grammar,Yang2016-08,Grammar,0.39980978
315,Yang2016-08,Grammar,Anthonio2020-03,Spelling/Grammar,0.39980978
316,Yang2017-01,Verification,Daxenberger2012-09,File-Modification,0.39195585
317,Yang2017-01,Wikification,Daxenberger2012-09,File-Modification,0.39195585
318,Yang2017-01,Verification,Daxenberger2013-17,File-Modification,0.39195585
319,Yang2017-01,Wikification,Daxenberger2013-17,File-Modification,0.39195585
320,Daxenberger2012-09,File-Modification,Yang2017-01,Verification,0.39195585
321,Daxenberger2012-09,File-Modification,Yang2017-01,Wikification,0.39195585
322,Daxenberger2013-17,File-Modification,Yang2017-01,Verification,0.39195585
323,Daxenberger2013-17,File-Modification,Yang2017-01,Wikification,0.39195585
324,Anthonio2020-03,Spelling/Grammar,Pfeil2006-12,Spelling,0.39049464
325,Pfeil2006-12,Spelling,Anthonio2020-03,Spelling/Grammar,0.39049464
326,Spangher2022-05,Deletion,Pfeil2006-12,Delete Information,0.3873346
327,Pfeil2006-12,Delete Information,Spangher2022-05,Deletion,0.3873346
