,table1,col1,table2,col2,sim_score
4755,Falting2021-04,Simplification,Jones2008-13,Structual Changes,0.08433857109910364
4756,Falting2021-04,Elaboration,Jones2008-13,Structual Changes,0.08433857109910364
4757,Falting2021-04,Verifiability,Jones2008-13,Structual Changes,0.08433857109910364
4758,Falting2021-04,Clarification,Jones2008-13,Structual Changes,0.08433857109910364
4759,Falting2021-04,Unlabeled,Jones2008-13,Structual Changes,0.08433857109910364
4760,Falting2021-04,Counter-vandalism,Jones2008-13,Revert,0.08433857109910364
4761,Falting2021-04,Counter-vandalism,Jones2008-13,Disambiguation,0.08433857109910364
4762,Falting2021-04,Counter-vandalism,Jones2008-13,Structual Changes,0.08433857109910364
4763,Falting2021-04,Counter-vandalism,Jones2008-13,Add Link,0.08433857109910364
4764,Falting2021-04,Vandalism,Jones2008-13,Structual Changes,0.08433857109910364
4765,Yang2016-08,Markup-Inserion,Pfeil2006-12,Clarify Information,0.0842963252234146
4766,Yang2016-08,File-Insertion,Pfeil2006-12,Clarify Information,0.0842963252234146
4767,Yang2016-08,Reference-Insertion,Pfeil2006-12,Delete Information,0.0842963252234146
4768,Yang2016-08,Reference-Insertion,Pfeil2006-12,Reversion,0.0842963252234146
4769,Zhang2015-06,Word-usage/Clarity,Failgey1981-10,Meaning-Preserving-Distribution,0.08428746438177787
4770,Zhang2015-06,Warrant/Reasoning/Backing,Failgey1981-10,Meaning-Preserving-Substitution,0.08428746438177787
4771,Zhang2015-06,Warrant/Reasoning/Backing,Failgey1981-10,Meaning-Preserving-Distribution,0.08428746438177787
4772,Zhang2015-06,Warrant/Reasoning/Backing,Failgey1981-10,Microstructure Changes-Addition,0.08428746438177787
4773,Zhang2015-06,Warrant/Reasoning/Backing,Failgey1981-10,Microstructure Changes-Deletion,0.08428746438177787
4774,Zhang2015-06,General Content,Failgey1981-10,Meaning-Preserving-Substitution,0.08428746438177787
4775,Zhang2015-06,General Content,Failgey1981-10,Meaning-Preserving-Distribution,0.08428746438177787
4776,Zhang2015-06,General Content,Failgey1981-10,Microstructure Changes-Addition,0.08428746438177787
4777,Zhang2015-06,General Content,Failgey1981-10,Microstructure Changes-Deletion,0.08428746438177787
4778,Zhang2015-06,General Content,Failgey1981-10,Macrostructure Changes-Addition,0.08428746438177787
4779,Zhang2015-06,General Content,Failgey1981-10,Macrostructure Changes-Deletion,0.08428746438177787
4780,Rajagopal2022-02,Add Supporting Evidence,Daxenberger2012-09,Information-Modification,0.084274687586373
4781,Rajagopal2022-02,Add Supporting Evidence,Daxenberger2013-17,Information-Modification,0.08423235864933658
4782,Yang2017-01,Clarification,Daxenberger2012-09,File-Insertion,0.08418241247899981
4783,Yang2017-01,Disambiguation,Daxenberger2012-09,Relocation,0.08418241247899981
4784,Yang2017-01,Disambiguation,Daxenberger2012-09,File-Insertion,0.08418241247899981
4785,Yang2017-01,Disambiguation,Daxenberger2012-09,File-Deletion,0.08418241247899981
4786,Yang2017-01,Elaboration,Daxenberger2012-09,File-Insertion,0.08418241247899981
4787,Yang2017-01,Simplification,Daxenberger2012-09,File-Insertion,0.08418241247899981
4788,Yang2017-01,Simplification,Daxenberger2012-09,File-Deletion,0.08418241247899981
4789,Yang2017-01,Verification,Daxenberger2012-09,File-Insertion,0.08418241247899981
4790,Yang2017-01,Wikification,Daxenberger2012-09,File-Insertion,0.08418241247899981
4791,Yang2017-01,Clarification,Daxenberger2013-17,File-Insertion,0.08417632281501716
4792,Yang2017-01,Disambiguation,Daxenberger2013-17,Relocation,0.08417632281501716
4793,Yang2017-01,Disambiguation,Daxenberger2013-17,File-Insertion,0.08417632281501716
4794,Yang2017-01,Disambiguation,Daxenberger2013-17,File-Deletion,0.08417632281501716
4795,Yang2017-01,Elaboration,Daxenberger2013-17,File-Insertion,0.08417632281501716
4796,Yang2017-01,Simplification,Daxenberger2013-17,File-Insertion,0.08417632281501716
4797,Yang2017-01,Simplification,Daxenberger2013-17,File-Deletion,0.08417632281501716
4798,Yang2017-01,Verification,Daxenberger2013-17,File-Insertion,0.08417632281501716
4799,Yang2017-01,Wikification,Daxenberger2013-17,File-Insertion,0.08417632281501716
4800,Falting2021-04,Wikification,Daxenberger2012-09,File-Deletion,0.08415971211904522
4801,Falting2021-04,Elaboration,Daxenberger2012-09,File-Deletion,0.08415971211904522
4802,Zhang2015-06,Organization,Failgey1981-10,"Tense, Number and Modality",0.0841588523834925
4803,Falting2021-04,Wikification,Daxenberger2013-17,File-Deletion,0.08415438679677881
4804,Falting2021-04,Elaboration,Daxenberger2013-17,File-Deletion,0.08415438679677881
4805,Yang2017-01,Elaboration,Jones2008-13,Add Image,0.08414196624946575
4806,Yang2017-01,Elaboration,Jones2008-13,Add Link,0.08414196624946575
4807,Yang2017-01,Fact Update,Jones2008-13,Vandalism,0.08414196624946575
4808,Yang2017-01,Fact Update,Jones2008-13,Revert,0.08414196624946575
4809,Yang2017-01,Fact Update,Jones2008-13,Add Link,0.08414196624946575
